nbId,Taille(cm),Poids(kg)
1,167,51.5
2,182,62.0
3,176,69.5
4,173,64.5
5,172,65.5
6,174,56.0
7,177,64.0
8,178,62.0
9,172,51.0
10,170,54.5
11,169,58.0
12,172,52.0
13,173,57.0
14,170,55.5
15,173,52.5
16,181,63.5
17,169,58.5
18,174,65.0
19,181,62.5
20,171,56.5
21,172,64.0
22,175,65.0
23,161,44.5
24,174,58.5
25,172,64.5
26,171,59.0
27,180,64.5
28,171,59.5
29,169,49.0
30,166,51.5
31,177,47.0
32,167,55.0
33,172,57.0
34,179,62.0
35,182,63.5
36,176,58.5
37,170,64.5
38,172,55.0
39,172,59.5
40,163,48.5
41,174,56.5
42,166,56.5
43,177,63.5
44,173,62.5
45,168,48.5
46,174,58.5
47,170,66.0
48,172,53.0
49,177,65.0
50,175,61.0
51,178,66.5
52,171,57.5
53,178,57.0
54,176,52.5
55,166,56.0
56,178,67.0
57,179,70.5
58,169,58.0
59,169,54.0
60,172,60.5
61,169,58.5
62,175,62.5
63,173,59.0
64,170,58.5
65,180,61.5
66,173,49.5
67,175,64.5
68,172,60.0
69,171,47.0
70,171,56.5
71,166,58.5
72,180,61.0
73,178,63.5
74,163,46.5
75,173,58.5
76,169,54.5
77,174,63.0
78,166,60.5
79,177,52.5
80,172,55.5
81,174,61.0
82,170,55.5
83,178,70.5
84,168,58.5
85,176,58.5
86,176,63.5
87,171,64.0
88,178,59.5
89,178,55.0
90,173,59.5
91,173,62.0
92,178,64.0
93,182,64.0
94,176,51.0
95,178,60.5
96,179,60.0
97,168,54.5
98,161,56.0
99,170,58.0
100,175,52.5
101,165,46.5
102,170,59.0
103,174,61.0
104,167,44.5
105,172,52.0
106,173,56.0
107,172,56.0
108,168,57.5
109,176,58.0
110,162,57.5
111,172,55.5
112,178,58.0
113,178,59.5
114,168,51.0
115,178,55.5
116,174,58.5
117,175,60.0
118,177,61.5
119,166,52.5
120,175,62.0
121,167,54.5
122,171,49.5
123,176,58.0
124,175,61.5
125,173,48.5
126,167,56.0
127,169,49.5
128,173,54.0
129,175,63.5
130,178,61.0
131,173,60.0
132,181,59.5
133,176,52.5
134,164,56.0
135,181,58.0
136,173,61.5
137,167,53.0
138,171,57.5
139,188,68.5
140,178,59.0
141,177,62.0
142,166,51.5
143,173,57.0
144,174,58.0
145,166,48.5
146,173,53.0
147,174,60.5
148,164,51.0
149,175,59.5
150,175,62.5
151,177,57.0
152,171,63.0
153,169,55.0
154,168,63.5
155,184,62.0
156,163,48.0
157,180,72.0
158,171,49.5
159,183,63.0
160,166,52.5
161,170,66.5
162,164,50.0
163,176,63.0
164,174,54.5
165,166,58.0
166,171,57.5
167,174,52.5
168,168,56.5
169,171,57.5
170,168,50.5
171,176,55.5
172,173,56.5
173,172,56.5
174,166,54.0
175,188,63.0
176,170,47.5
177,170,56.0
178,167,54.0
179,168,55.0
180,169,54.0
181,170,61.0
182,167,52.5
183,170,49.5
184,175,56.5
185,168,64.0
186,168,58.5
187,174,58.0
188,169,55.0
189,170,58.0
190,173,46.0
191,178,66.0
192,166,50.5
193,171,60.5
194,171,66.5
195,177,66.0
196,167,55.0
197,168,52.5
198,173,58.0
199,173,58.0
200,181,58.0
201,167,55.0
202,169,51.0
203,178,61.0
204,176,58.5
205,174,56.5
206,174,63.5
207,174,53.5
208,175,65.5
209,178,64.0
210,182,70.5
211,174,61.0
212,169,59.0
213,169,48.0
214,173,51.0
215,175,62.0
216,171,59.5
217,177,59.5
218,172,54.0
